"state","district","ppv_name","latitude","longitude","pop_density","pop_growth"
"Selangor","Gombak","Dewan Alwy, Jabatan Perhutanan Semenanjung Malaysia",3.2360267,101.6296346,1270,0.017
"Selangor","Gombak","Hospital Orang Asli Gombak",3.2919717,101.7309713,1270,0.017
"Selangor","Gombak","Hospital Selayang",3.2426173,101.6464691,1270,0.017
"Selangor","Gombak","Hospital Sungai Buluh",3.2196265,101.5831991,1270,0.017
"Selangor","Gombak","Klinik Kesihatan AU2",3.1749588,101.7487479,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Batu 8",3.24627404167925,101.722601425732,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Batu Arang",3.3201676,101.4736959,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Gombak Setia",3.2178664,101.7142398,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Kuang",3.2594189,101.55195,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Rawang",3.3147693,101.5958835,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Selayang Baru",3.245237,101.6738341,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Sungai Buloh",3.2192844,101.5779949,1270,0.017
"Selangor","Gombak","Klinik Kesihatan Taman Ehsan",3.224222,101.6229275,1270,0.017
"Selangor","Gombak","Le Garden Pavilion, Gamuda Gardens, Rawang, Gombak",3.28321805,101.53893315,1270,0.017
"Selangor","Gombak","Pusat Pakar Perubatan UiTM (Sungai Buloh)",3.22103425,101.59345045,1270,0.017
"Selangor","Gombak","Setia Eco Templer, Rawang",3.30017675,101.64358485,1270,0.017
"Selangor","Gombak","UNIKL British Malaysia Institute (BMI), Sg. Pusu",3.2511277,101.7279981,1270,0.017
"Selangor","Hulu Langat","Galaxy Mall, Ampang",3.1471156,101.7558731,1671,0.016
"Selangor","Hulu Langat","360 Club Eco Hill",2.9256596,101.839679,1671,0.016
"Selangor","Hulu Langat","Bangi Avenue Convention Center [BACC]",2.9006741,101.7912444,1671,0.016
"Selangor","Hulu Langat","Bangi Convention Centre (BCC), Seksyen 14 BBB",2.9255946,101.7613725,1671,0.016
"Selangor","Hulu Langat","Bangi Golf Resort",2.957294,101.76602495,1671,0.016
"Selangor","Hulu Langat","Dewan Orang Ramai Kampung Ampang Indah",3.16547355,101.77179625,1671,0.016
"Selangor","Hulu Langat","Dewan Orang Ramai Taman Bukit Mewah Kajang",2.9802032,101.8035773,1671,0.016
"Selangor","Hulu Langat","Hospital Ampang",3.1282107,101.7640303,1671,0.016
"Selangor","Hulu Langat","Hospital Kajang",2.99331335,101.79597385,1671,0.016
"Selangor","Hulu Langat","Klinik Kesihatan Bandar Seri Putra",2.8878947,101.7922127,1671,0.016
"Selangor","Hulu Langat","Klinik Kesihatan Bandar Tun Hussein Onn",3.0423435,101.76191245,1671,0.016
"Selangor","Hulu Langat","Klinik Kesihatan Bangi",2.91870075,101.77296065,1671,0.016
"Selangor","Hulu Langat","Mewah Club Kajang",2.98821055,101.79632605,1671,0.016
"Selangor","Hulu Langat","Universiti Kebangsaan Malaysia (UKM)",2.930255,101.7774194,1671,0.016
"Selangor","Hulu Selangor","Bukit Beruntung Golf Resort",3.4373376,101.56470595,138,0.017
"Selangor","Hulu Selangor","Dewan Komuniti Serendah",3.3646383,101.6031112,138,0.017
"Selangor","Hulu Selangor","Dewan Semai Bakti Felda Soeharto",3.6757129,101.393808,138,0.017
"Selangor","Hulu Selangor","Hospital Kuala Kubu Bharu",3.5642346,101.6530737,138,0.017
"Selangor","Hulu Selangor","Klinik Kesihatan Serendah",3.3623333,101.6027488,138,0.017
"Selangor","Hulu Selangor","Klinik Kesihatan Ulu Yam Bharu",3.434854,101.656462,138,0.017
"Selangor","Klang","Dewan Kelab Kilat Pangsapuri TNB Kapar",3.1279446,101.3753772,1648,0.015
"Selangor","Klang","Dewan LPK, Kelab Sukan Dan Rekreasi Pelabuhan Klang",2.99854,101.3938099,1648,0.015
"Selangor","Klang","Dewan Persatuan Hokkien, Klang",3.0526947,101.4617294,1648,0.015
"Selangor","Klang","Dewan Persatuan Soka Gakkai",3.00666478069599,101.44615823972,1648,0.015
"Selangor","Klang","Dewan Sukan Pandamaran",3.01484485,101.414699,1648,0.015
"Selangor","Klang","Hospital Tengku Ampuan Rahimah",3.0205787,101.4398648,1648,0.015
"Selangor","Klang","Hotel Premier, Klang",3.0071772,101.4413166,1648,0.015
"Selangor","Klang","Hotel Wyndham Acmar",3.0590226,101.4718593,1648,0.015
"Selangor","Klang","Klinik Kesihatan Bandar Botanik",2.9894938,101.4464784,1648,0.015
"Selangor","Klang","Klinik Kesihatan Bukit Kuda",3.0506643,101.4582095,1648,0.015
"Selangor","Klang","Klinik Kesihatan Bukit Naga",3.003293,101.5053131,1648,0.015
"Selangor","Klang","Klinik Kesihatan Klang (Anika)",3.0372006,101.4470019,1648,0.015
"Selangor","Klang","Klinik Kesihatan Meru",3.1363776,101.4409284,1648,0.015
"Selangor","Klang","Klinik Kesihatan Pandamaran",3.01408,101.4122498,1648,0.015
"Selangor","Klang","Klinik Kesihatan Pelabuhan Klang",3.0013383,101.3943435,1648,0.015
"Selangor","Klang","Klinik Kesihatan Pulau Indah",2.937951,101.3246989,1648,0.015
"Selangor","Klang","Klinik Kesihatan Rantau Panjang",3.0689456,101.4114814,1648,0.015
"Selangor","Klang","Klinik Kesihatan Sg Bertik",3.0490245,101.4276434,1648,0.015
"Selangor","Kuala Langat","Hospital Banting",2.8028617,101.4938279,321,0.017
"Selangor","Kuala Langat","Klinik Kesihatan Bukit Changgang",2.8287189,101.6185063,321,0.017
