state,district,ppv_name,latitude,longitude
Perlis,Perlis,Dewan 2020,6.4148905,100.1949794
Perlis,Perlis,"Dewan Seri Melati, Perlis",6.5152961,100.2386186
Perlis,Perlis,"Dewan Warisan, Perlis",6.4401103,100.1880866
Perlis,Perlis,Hospital Tuanku Fauziah,6.4403051,100.1904689
Penang,Barat Daya,B Braun Medical Industries Sdn Bhd,24.85634815,-129.67381675
Penang,Barat Daya,Dewan Balai Rakyat Bayan Baru,5.3668898,100.30505965
Penang,Barat Daya,Equatorial Hotel Penang,4.9542965,100.83204255
Penang,Barat Daya,Hospital Balik Pulau,5.3502289,100.2331295
Penang,Barat Daya,Intel Penang,5.35409125,100.4298467
Penang,Barat Daya,Jabil Penang (Plant 1),5.3037105,100.2916751
Penang,Barat Daya,Keysight Technologies,39.15933715,-96.96123745
Penang,Barat Daya,Kompleks Sukan Balik Pulau,5.3387159,100.2137245
Penang,Barat Daya,Plexus Manufacturing,28.6128298,-9.27708215
Penang,Barat Daya,Subterranean Penang International Convention & Exhibition Centre (SPICE),5.3314698,100.28402455
Penang,Barat Daya,TAPAK PESTA PULAU PINANG,5.3439362,100.3003605
Penang,Seberang Perai Selatan,Dewan Serbaguna Jawi,5.20799085,100.4948443
Penang,Seberang Perai Selatan,DEWAN SERBAGUNA SG. BAKAP,5.2146223,100.4969337
Penang,Seberang Perai Selatan,Hospital Sungai Bakap,5.2192779,100.4972446
Penang,Seberang Perai Selatan,Inari Technology Plant 34,,
Penang,Seberang Perai Selatan,"Micron, Bukit Jawi Resort",5.8074359,100.1297205
Penang,Seberang Perai Tengah,Flextronics,37.42509125,-101.5172782
Penang,Seberang Perai Tengah,Hospital Bukit Mertajam,5.3593459,100.4640656
Penang,Seberang Perai Tengah,Hospital Seberang Jaya,5.3941082,100.4078271
Penang,Seberang Perai Tengah,Molex (Malaysia) Sdn Bhd,5.3508428,100.4204088
Penang,Seberang Perai Tengah,Seberang Perai Arena Convention Centre,5.3869912,100.4014628
Penang,Seberang Perai Tengah,Tapak Ekspo Seberang Jaya,5.400368,100.40448345
Penang,Seberang Perai Utara,Dewan Milenium Kepala Batas,5.5143397,100.4377244
Penang,Seberang Perai Utara,DEWAN PERDA CONVENTION CENTRE,5.5034656,100.5012349
Penang,Seberang Perai Utara,Dewan Sains@Bertam Jalan Bertam 2,5.515016,100.4371005
Penang,Timur Laut,"Dewan Utama Pelajar (Dewan Peperiksaan), Jalan Bukit Gambir, USM Gelugor",5.3564536,100.2943517
Penang,Timur Laut,Hospital Pulau Pinang,5.40683585,100.30869105
Penang,Timur Laut,Kompleks Masyarakat Penyayang,5.4182883,100.3048986
Penang,Timur Laut,Swettenham Cruise Terminal,5.4186276,100.3455832
Kedah,Baling,Dewan Kenangan Tun Abdul Razak,5.6753854,100.9210586
Kedah,Baling,"Dewan MDB Kupang, Baling",5.6758559,100.9161327
Kedah,Baling,Hospital Baling,5.6777182,100.9258165
Kedah,Baling,Universiti Islam Antarabangsa Sultan Abdul Halim Mu'adzam Shah (UniSHAMS),5.5837827,100.6428448
Kedah,Bandar Baharu,Kompleks Sukan Komuniti Serdang,5.2077396,100.6131852
Kedah,Kota Setar,"Dewan Serbaguna Kementerian Dalam Negeri, Anak Bukit",6.1855158,100.3765792
Kedah,Kota Setar,Hospital Sultanah Bahiyah,6.14662395,100.390581
Kedah,Kota Setar,Stadium Tertutup Sultan Abdul Halim,6.1505639,100.3653387
Kedah,Kuala Muda,Dewan Kenangan MPSP(K),5.6437089,100.4871204
Kedah,Kuala Muda,"Dewan Kenangan MPSP(K), Kuala Muda",5.6437089,100.4871204
Kedah,Kuala Muda,Dewan MPSP(K) Taman Gurun Jaya,5.8168938,100.471656
Kedah,Kubang Pasu,"Dewan Sri Mas, Polimas Jitra",6.2496681,100.4316558
Kedah,Kubang Pasu,Dewan Tunku Anum,6.2992217,100.4218294
Kedah,Kubang Pasu,Hospital Jitra,6.2787858,100.4190655
Kedah,Kulim,Dewan Bandaran Kulim,5.3693666,100.5585594
Kedah,Kulim,"Dewan Mahsuri, Padang Serai, Kulim",5.5077507,100.5435685
Kedah,Kulim,Hospital Kulim,5.3931314,100.5730363
Kedah,Langkawi,"Dewan Badminton Kompleks Sukan LADA, Kuah",6.3314716,99.8584233
Kedah,Langkawi,"Dewan Syifa, Padang Mat Sirat",6.34785,99.73192595
Kedah,Langkawi,Hospital Langkawi,6.3247688,99.7984415
Kedah,Langkawi,Klinik Kesihatan Air Hangat,6.422797,99.8031172
Kedah,Langkawi,Langkawi International Convention Centre (LICC),6.3017791,99.8549325
Kedah,Padang Terap,"Dewan Tunku Putra, Kuala Nerang",6.257098,100.6128932
Kedah,Padang Terap,Hospital Kuala Nerang,6.25263,100.6097715
Kedah,Pendang,"Dewan Cenderawasih, Pekan Pendang",5.9912128,100.4771107
Kedah,Sik,"Dewan Al Hana, Kedah",6.0714851,100.29833235
Kedah,Sik,Hospital Sik,5.8122196,100.7269887
Kedah,Sungai Petani,Dewan Pusat Latihan Anti Dadah Kebangsaan (PLAK),5.626002,100.53271
Kedah,Sungai Petani,Hospital Sultan Abdul Halim,5.6695817,100.5174146
Kedah,Yan,Dewan Serbaguna Guar Chempedak,5.8527056,100.4612488
Kedah,Yan,Hospital Yan,38.4786602,-96.6921828
